tech_id,platform,id,description
T1036.005,"['Linux', 'macOS', 'Windows', 'Containers']",relationship--4a942244-9b88-43d0-9a1c-c0277e7903e8,[Raindrop](https://attack.mitre.org/software/S0565) was installed under names that resembled legitimate Windows file and directory names.(Citation: Symantec RAINDROP January 2021)(Citation: Microsoft Deep Dive Solorigate January 2021)
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--4a959425-4d43-4969-9a47-768894a3afaa,[Emissary](https://attack.mitre.org/software/S0082) has the capability to execute ver and systeminfo commands.(Citation: Emissary Trojan Feb 2016)
T1204.002,"['Linux', 'macOS', 'Windows']",relationship--4a98aeee-5b53-43ca-a75a-5839792756d7,"During [C0015](https://attack.mitre.org/campaigns/C0015), the threat actors relied on users to enable macros within a malicious Microsoft Word document.(Citation: DFIR Conti Bazar Nov 2021)"
T1124,"['Windows', 'Network']",relationship--4a990ccb-7004-43b8-9328-37668e1a3b6d,[Metamorfo](https://attack.mitre.org/software/S0455) uses JavaScript to get the system time.(Citation: Medium Metamorfo Apr 2020) 
T1518.001,"['Windows', 'Azure AD', 'Office 365', 'SaaS', 'IaaS', 'Linux', 'macOS', 'Google Workspace']",relationship--4a9f7553-b3ee-405b-9c81-f487b4bed868,[Flame](https://attack.mitre.org/software/S0143) identifies security software such as antivirus through the Security module.(Citation: Kaspersky Flame)(Citation: Kaspersky Flame Functionality)
T1055.003,['Windows'],relationship--4aa3b66d-f312-4f1f-912a-b7b1762f9d82,[Waterbear](https://attack.mitre.org/software/S0579) can use thread injection to inject shellcode into the process of security software.(Citation: Trend Micro Waterbear December 2019)
T1071.001,"['Linux', 'macOS', 'Windows']",relationship--4aa86179-d9e9-43dd-b2a2-75e77a832150,[APT41](https://attack.mitre.org/groups/G0096) used HTTP to download payloads for CVE-2019-19781 and CVE-2020-10189 exploits.(Citation: FireEye APT41 March 2020) 
T1204.001,"['Linux', 'macOS', 'Windows']",relationship--4aaa3063-d1b0-4c13-aa6d-829000f05aec,[Javali](https://attack.mitre.org/software/S0528) has achieved execution through victims clicking links to malicious websites.(Citation: Securelist Brazilian Banking Malware July 2020)
T1016,"['Linux', 'macOS', 'Windows', 'Network']",relationship--4ab6ada3-0129-4f34-ba29-b793c6d98fff,[MuddyWater](https://attack.mitre.org/groups/G0069) has used malware to collect the victim’s IP address and domain name.(Citation: Securelist MuddyWater Oct 2018)
T1113,"['Linux', 'macOS', 'Windows']",relationship--4ab6eb52-821c-45da-b7d9-63840fe657cf,[Zeus Panda](https://attack.mitre.org/software/S0330) can take screenshots of the victim’s machine.(Citation: GDATA Zeus Panda June 2017)
T1033,"['Linux', 'macOS', 'Windows', 'Network']",relationship--4abb6550-b362-4f8a-80e4-1d6f094a1e37,[Turian](https://attack.mitre.org/software/S0647) can retrieve usernames.(Citation: ESET BackdoorDiplomacy Jun 2021)
T1132.001,"['Linux', 'macOS', 'Windows']",relationship--4abcf209-1dab-435b-a347-b8ff318ac5d8,[Daserf](https://attack.mitre.org/software/S0187) uses custom base64 encoding to obfuscate HTTP traffic.(Citation: Secureworks BRONZE BUTLER Oct 2017)
T1587.002,['PRE'],relationship--4ac5b593-8f47-46cc-9af3-fcb0eb20f66e,[PROMETHIUM](https://attack.mitre.org/groups/G0056) has created self-signed certificates to sign malicious installers.(Citation: Bitdefender StrongPity June 2020)
T1033,"['Linux', 'macOS', 'Windows', 'Network']",relationship--4acb6288-8de5-4a5c-b7a4-68911ab148f9,[SodaMaster](https://attack.mitre.org/software/S0627) can identify the username on a compromised host.(Citation: Securelist APT10 March 2021)
T1547.001,['Windows'],relationship--4ad60c58-2665-4c4b-a9e8-5cd0042e45bb,[Ixeshe](https://attack.mitre.org/software/S0015) can achieve persistence by adding itself to the <code>HKCU\Software\Microsoft\Windows\CurrentVersion\Run</code> Registry key.(Citation: Trend Micro IXESHE 2012)
T1027,"['Linux', 'macOS', 'Windows']",relationship--4ad9aa86-f489-4f0f-926f-f381221c3705,[BlackOasis](https://attack.mitre.org/groups/G0063)'s first stage shellcode contains a NOP sled with alternative instructions that was likely designed to bypass antivirus tools.(Citation: Securelist BlackOasis Oct 2017)
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--4ae0fc35-a321-4ffb-b7fa-b03a20230fc4,[SMOKEDHAM](https://attack.mitre.org/software/S0649) has used the <code>systeminfo</code> command on a compromised host.(Citation: FireEye SMOKEDHAM June 2021)
T1001.002,"['Linux', 'macOS', 'Windows']",relationship--4ae58878-d6b9-4f0d-bca1-f2f3b5e2adce,[Zox](https://attack.mitre.org/software/S0672) has used the .PNG file format for C2 communications.(Citation: Novetta-Axiom)
T1566.001,"['macOS', 'Windows', 'Linux']",relationship--4ae86603-3199-4692-b37c-f26a7c7e3fc2,[EXOTIC LILY](https://attack.mitre.org/groups/G1011) conducted an e-mail thread-hijacking campaign with malicious ISO attachments.(Citation: Google EXOTIC LILY March 2022)(Citation: Proofpoint Bumblebee April 2022)
T1016.001,"['Windows', 'Linux', 'macOS']",relationship--4aec046b-4d53-44ea-97d0-e5a57290fb1e,[QakBot](https://attack.mitre.org/software/S0650) can measure the download speed on a targeted host.(Citation: Kaspersky QakBot September 2021)
T1547.001,['Windows'],relationship--4af1ec66-5007-49df-8a10-df2c8ed7edc8,[BBSRAT](https://attack.mitre.org/software/S0127) has been loaded through DLL side-loading of a legitimate Citrix executable that is set to persist through the Registry Run key location <code>HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\ssonsvr.exe</code>.
T1069.002,"['Linux', 'macOS', 'Windows']",relationship--4af77ee9-ee38-4594-81e3-177a2f2d4bfb,[Cobalt Strike](https://attack.mitre.org/software/S0154) can identify targets by querying account groups on a domain contoller.(Citation: Cobalt Strike Manual 4.3 November 2020)
T1027,"['Linux', 'macOS', 'Windows']",relationship--4afcb9c9-e490-446b-97b1-1c151974242f,[TINYTYPHON](https://attack.mitre.org/software/S0131) has used XOR with 0x90 to obfuscate its configuration file.(Citation: Forcepoint Monsoon)
T1074.001,"['Linux', 'macOS', 'Windows']",relationship--4b03f718-f89a-4652-b3be-5cbe4e0e044f,[Ramsay](https://attack.mitre.org/software/S0458) can stage data prior to exfiltration in <code>%APPDATA%\Microsoft\UserSetting</code> and <code>%APPDATA%\Microsoft\UserSetting\MediaCache</code>.(Citation: Eset Ramsay May 2020)(Citation: Antiy CERT Ramsay April 2020)	
T1098.002,"['Windows', 'Office 365', 'Google Workspace']",relationship--4b0b60ee-2ee8-4de0-868f-ae4c85e131ff,"During the [SolarWinds Compromise](https://attack.mitre.org/campaigns/C0024), [APT29](https://attack.mitre.org/groups/G0016) added their own devices as allowed IDs for active sync using `Set-CASMailbox`, allowing it to obtain copies of victim mailboxes. It also added additional permissions (such as Mail.Read and Mail.ReadWrite) to compromised Application or Service Principals.(Citation: Volexity SolarWinds)(Citation: Microsoft - Customer Guidance on Recent Nation-State Cyber Attacks)(Citation: MSTIC Nobelium Oct 2021)"
T1014,"['Linux', 'macOS', 'Windows']",relationship--4b14d96b-1664-4072-a49a-3a990a13ca83,[HTRAN](https://attack.mitre.org/software/S0040) can install a rootkit to hide network connections from the host OS.(Citation: NCSC Joint Report Public Tools)
T1218.011,['Windows'],relationship--4b1cb3cd-5315-487b-8e4b-554b4679d00d,[EnvyScout](https://attack.mitre.org/software/S0634) has the ability to proxy execution of malicious files with Rundll32.(Citation: MSTIC Nobelium Toolset May 2021)
T1552.003,"['Linux', 'macOS']",relationship--4b2303df-c73d-4617-bd56-4468b29a5036,[Kinsing](https://attack.mitre.org/software/S0599) has searched <code>bash_history</code> for credentials.(Citation: Aqua Kinsing April 2020)
T1008,"['Linux', 'Windows', 'macOS']",relationship--4b23ac99-3761-46f0-ad5d-2cf63a95036a,"[S-Type](https://attack.mitre.org/software/S0085) primarily uses port 80 for C2, but falls back to ports 443 or 8080 if initial communication fails.(Citation: Cylance Dust Storm)"
T1033,"['Linux', 'macOS', 'Windows', 'Network']",relationship--4b253464-5a8b-4129-ab1b-ab888314f900,[APT37](https://attack.mitre.org/groups/G0067) identifies the victim username.(Citation: Talos Group123)
T1542.002,"['Windows', 'Linux', 'macOS']",relationship--4b2668bf-31ee-4bee-a624-ab526124623b,"[Cyclops Blink](https://attack.mitre.org/software/S0687) has maintained persistence by patching legitimate device firmware when it is downloaded, including that of WatchGuard devices.(Citation: NCSC Cyclops Blink February 2022)"
T1083,"['Linux', 'macOS', 'Windows', 'Network']",relationship--4b2baed3-8e3c-4ab6-9b92-f147a9ab7d13,[TSCookie](https://attack.mitre.org/software/S0436) has the ability to discover drive information on the infected host.(Citation: JPCert TSCookie March 2018)
T1041,"['Linux', 'macOS', 'Windows']",relationship--4b2de33f-c8cf-48dc-aa6d-524460bb3e24,[SVCReady](https://attack.mitre.org/software/S1064) can send collected data in JSON format to its C2 server.(Citation: HP SVCReady Jun 2022) 
T1027,"['Linux', 'macOS', 'Windows']",relationship--4b2fa1ed-6c4f-4974-a44e-beeadf3a887c,[Pony](https://attack.mitre.org/software/S0453) attachments have been delivered via compressed archive files. [Pony](https://attack.mitre.org/software/S0453) also obfuscates the memory flow by adding junk instructions when executing to make analysis more difficult.(Citation: Malwarebytes Pony April 2016)	
T1021.001,['Windows'],relationship--4b310a47-e010-4984-afcb-52d9c8c7933a,[Carbanak](https://attack.mitre.org/software/S0030) enables concurrent Remote Desktop Protocol (RDP) sessions.(Citation: FireEye CARBANAK June 2017)
T1018,"['Linux', 'macOS', 'Windows', 'Network']",relationship--4b314d34-1e53-46a4-a3b8-131a19b256d6,[njRAT](https://attack.mitre.org/software/S0385) can identify remote hosts on connected networks.(Citation: Fidelis njRAT June 2013)
T1113,"['Linux', 'macOS', 'Windows']",relationship--4b3274fe-1960-4d1e-91d1-2091e467c45b,[ZxShell](https://attack.mitre.org/software/S0412) can capture screenshots.(Citation: FireEye APT41 Aug 2019)
T1095,"['Windows', 'Linux', 'macOS', 'Network']",relationship--4b387706-db60-46d2-bba4-148571381e60,[Nebulae](https://attack.mitre.org/software/S0630) can use TCP in C2 communications.(Citation: Bitdefender Naikon April 2021)
T1140,"['Windows', 'Linux', 'macOS']",relationship--4b3f0b38-d4e2-49e8-a8f9-6a186c31967f,[Darkhotel](https://attack.mitre.org/groups/G0012) has decrypted strings and imports using RC4 during execution.(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft DUBNIUM July 2016)
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--4b3f85b7-a7a4-446f-a3cb-d922268ee879,[Inception](https://attack.mitre.org/groups/G0100) has used a reconnaissance module to gather information about the operating system and hardware on the infected host.(Citation: Symantec Inception Framework March 2018)
T1547.001,['Windows'],relationship--4b45b720-a606-4c52-a28a-2ef298f9b42f,[FIN6](https://attack.mitre.org/groups/G0037) has used Registry Run keys to establish persistence for its downloader tools known as HARDTACK and SHIPBREAD.(Citation: FireEye FIN6 April 2016)
T1485,"['Windows', 'IaaS', 'Linux', 'macOS', 'Containers']",relationship--4b4ac061-dee5-44f3-b0f5-021889eae45e,"[Shamoon](https://attack.mitre.org/software/S0140) attempts to overwrite operating system files and disk structures with image files.(Citation: Symantec Shamoon 2012)(Citation: FireEye Shamoon Nov 2016)(Citation: Palo Alto Shamoon Nov 2016) In a later variant, randomly generated data was used for data overwrites.(Citation: Unit 42 Shamoon3 2018)(Citation: McAfee Shamoon December 2018)"
T1573.001,"['Linux', 'Windows', 'macOS']",relationship--4b5540e5-eac1-40f4-93d0-155f60e9395a,The C2 server response to a beacon sent by a variant of [Emissary](https://attack.mitre.org/software/S0082) contains a 36-character GUID value that is used as an encryption key for subsequent network communications. Some variants of [Emissary](https://attack.mitre.org/software/S0082) use various XOR operations to encrypt C2 data.(Citation: Lotus Blossom Dec 2015)
T1071.002,"['Linux', 'macOS', 'Windows']",relationship--4b569311-24d2-439d-badb-a5076955cda3,[CARROTBALL](https://attack.mitre.org/software/S0465) has the ability to use FTP in C2 communications.(Citation: Unit 42 CARROTBAT January 2020)
T1573.001,"['Linux', 'Windows', 'macOS']",relationship--4b6bee9b-469e-48ce-84fa-5322de03470a,The original variant of [FakeM](https://attack.mitre.org/software/S0076) encrypts C2 traffic using a custom encryption cipher that uses an XOR key of “YHCRA” and bit rotation between each XOR operation. Some variants of [FakeM](https://attack.mitre.org/software/S0076) use RC4 to encrypt C2 traffic.(Citation: Scarlet Mimic Jan 2016)
T1021.001,['Windows'],relationship--4b6f2524-85b4-4151-9001-32b875cfbb19,"During the [SolarWinds Compromise](https://attack.mitre.org/campaigns/C0024), [APT29](https://attack.mitre.org/groups/G0016) used RDP sessions from public-facing systems to internal servers.(Citation: CrowdStrike StellarParticle January 2022)"
T1573.001,"['Linux', 'Windows', 'macOS']",relationship--4b70ec83-7488-4b4e-bd0b-58fb45da3a15,[QakBot](https://attack.mitre.org/software/S0650) can RC4 encrypt strings in C2 communication.(Citation: Kaspersky QakBot September 2021)
T1217,"['Linux', 'Windows', 'macOS']",relationship--4b83387a-bba5-44a9-9dc4-3aae9a916d24,[Dtrack](https://attack.mitre.org/software/S0567) can retrieve browser history.(Citation: Securelist Dtrack)(Citation: CyberBit Dtrack)
T1564.002,"['macOS', 'Windows', 'Linux']",relationship--4b889a3a-289f-444f-946d-b8bc2dd16627,[Kimsuky](https://attack.mitre.org/groups/G0094) has run <code>reg add ‘HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList’ /v</code> to hide a newly created user.(Citation: KISA Operation Muzabi)
T1110.001,"['Windows', 'Azure AD', 'Office 365', 'SaaS', 'IaaS', 'Linux', 'macOS', 'Google Workspace', 'Containers', 'Network']",relationship--4b8bdc58-cfb9-4841-94e9-421b9e08f44f,"[APT28](https://attack.mitre.org/groups/G0007) has used a brute-force/password-spray tooling that operated in two modes: in brute-force mode it typically sent over 300 authentication attempts per hour per targeted account over the course of several hours or days.(Citation: Microsoft STRONTIUM New Patterns Cred Harvesting Sept 2020) [APT28](https://attack.mitre.org/groups/G0007) has also used a Kubernetes cluster to conduct distributed, large-scale password guessing attacks.(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)"
T1070.001,['Windows'],relationship--4b8d211d-4969-4c0f-8b01-fd176c8172d1,"[APT28](https://attack.mitre.org/groups/G0007) has cleared event logs, including by using the commands <code>wevtutil cl System</code> and <code>wevtutil cl Security</code>.(Citation: Crowdstrike DNC June 2016)(Citation: DOJ GRU Indictment Jul 2018)"
T1057,"['Linux', 'macOS', 'Windows', 'Network']",relationship--4b8ebd1a-50ba-463a-b536-3ad8cc5013f8,[PlugX](https://attack.mitre.org/software/S0013) has a module to list the processes running on a machine.(Citation: CIRCL PlugX March 2013)
T1566.001,"['macOS', 'Windows', 'Linux']",relationship--4b98c580-7907-487c-a5b1-202663762c47,[Ajax Security Team](https://attack.mitre.org/groups/G0130) has used personalized spearphishing attachments.(Citation: Check Point Rocket Kitten)
T1071.001,"['Linux', 'macOS', 'Windows']",relationship--4b9cbe06-8c1f-4596-ad87-fa19e60e8ec3,[SoreFang](https://attack.mitre.org/software/S0516) can use HTTP in C2 communications.(Citation: CISA SoreFang July 2016)(Citation: NCSC APT29 July 2020)
T1204.002,"['Linux', 'macOS', 'Windows']",relationship--4baffcd6-9cdc-4f1e-9b54-4084e7dc2c42,[BoomBox](https://attack.mitre.org/software/S0635) has gained execution through user interaction with a malicious file.(Citation: MSTIC Nobelium Toolset May 2021)
T1027,"['Linux', 'macOS', 'Windows']",relationship--4bb228b7-a456-426a-9be0-68a8a8a1b2d0,[BITTER](https://attack.mitre.org/groups/G1002) has used a RAR SFX dropper to deliver malware.(Citation: Forcepoint BITTER Pakistan Oct 2016)
T1105,"['Linux', 'macOS', 'Windows']",relationship--4bb79228-9531-47c0-8e73-401e741593a8,[Smoke Loader](https://attack.mitre.org/software/S0226) downloads a new version of itself once it has installed. It also downloads additional plugins.(Citation: Malwarebytes SmokeLoader 2016)
T1027.002,"['macOS', 'Windows', 'Linux']",relationship--4bc2e50e-0753-497f-9ec0-af270abe2af1,"[APT39](https://attack.mitre.org/groups/G0087) has packed tools with UPX, and has repacked a modified version of [Mimikatz](https://attack.mitre.org/software/S0002) to thwart anti-virus detection.(Citation: FireEye APT39 Jan 2019)(Citation: BitDefender Chafer May 2020)"
T1021.001,['Windows'],relationship--4bc4f37e-5cdd-4def-a997-1cbb37975a8f,"During [C0018](https://attack.mitre.org/campaigns/C0018), the threat actors opened a variety of ports to establish RDP connections, including ports 28035, 32467, 41578, and 46892.(Citation: Costa AvosLocker May 2022)"
T1055.001,['Windows'],relationship--4bcd21d2-7583-4b82-8d33-2b153eeb6fdb,"[PowerSploit](https://attack.mitre.org/software/S0194) contains a collection of CodeExecution modules that inject code (DLL, shellcode) into a process.(Citation: GitHub PowerSploit May 2012)(Citation: PowerSploit Documentation)"
T1095,"['Windows', 'Linux', 'macOS', 'Network']",relationship--4bd30351-b64b-47cb-897b-951b76ca668b,[Metamorfo](https://attack.mitre.org/software/S0455) has used raw TCP for C2.(Citation: FireEye Metamorfo Apr 2018) 
T1105,"['Linux', 'macOS', 'Windows']",relationship--4bd59ceb-eb44-45c0-b775-3eaea3307455,[PowerLess](https://attack.mitre.org/software/S1012) can download additional payloads to a compromised host.(Citation: Cybereason PowerLess February 2022)
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--4bd74c6c-9e4f-4048-b968-13319d68ff00,"[FELIXROOT](https://attack.mitre.org/software/S0267) collects the victim’s computer name, processor architecture, OS version, volume serial number, and system type.(Citation: FireEye FELIXROOT July 2018)(Citation: ESET GreyEnergy Oct 2018)"
T1218.005,['Windows'],relationship--4bd79a52-d28c-4880-9f10-dda500ac40c9,"
[TA2541](https://attack.mitre.org/groups/G1018) has used `mshta` to execute scripts including VBS.(Citation: Cisco Operation Layover September 2021)
"
T1016,"['Linux', 'macOS', 'Windows', 'Network']",relationship--4bdb2764-695c-42d8-afac-f5618660cae7,[GrimAgent](https://attack.mitre.org/software/S0632) can enumerate the IP and domain of a target system.(Citation: Group IB GrimAgent July 2021)
T1001.002,"['Linux', 'macOS', 'Windows']",relationship--4be17eba-9ee0-46ff-b019-ce32c25ad146,[LightNeuron](https://attack.mitre.org/software/S0395) is controlled via commands that are embedded into PDFs and JPGs using steganographic methods.(Citation: ESET LightNeuron May 2019)
T1119,"['Linux', 'macOS', 'Windows', 'IaaS', 'SaaS']",relationship--4be42e8a-4547-43c5-97bf-01440994f95b,"[Empire](https://attack.mitre.org/software/S0363) can automatically gather the username, domain name, machine name, and other information from a compromised system.(Citation: Talos Frankenstein June 2019)"
T1547.001,['Windows'],relationship--4be5482c-2a58-41af-a7d7-477c596b4622,"[Metamorfo](https://attack.mitre.org/software/S0455) has configured persistence to the Registry ket <code>HKCU\Software\Microsoft\Windows\CurrentVersion\Run, Spotify =% APPDATA%\Spotify\Spotify.exe</code> and used .LNK files in the startup folder to achieve persistence.(Citation: Medium Metamorfo Apr 2020)(Citation: FireEye Metamorfo Apr 2018)(Citation: Fortinet Metamorfo Feb 2020)(Citation: ESET Casbaneiro Oct 2019)"
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--4be87979-faf9-4a7a-998a-d1aa3fbf5a80,"[Hydraq](https://attack.mitre.org/software/S0203) creates a backdoor through which remote attackers can retrieve information such as computer name, OS version, processor speed, memory size, and CPU speed.(Citation: Symantec Hydraq Jan 2010)"
T1049,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--4bf260f4-0a10-49d9-b930-e1293f40e693,[Cobalt Strike](https://attack.mitre.org/software/S0154) can produce a sessions report from compromised hosts.(Citation: Talos Cobalt Strike September 2020)
T1105,"['Linux', 'macOS', 'Windows']",relationship--4bf364ad-1e9c-4860-93c0-241da4c81068,[RARSTONE](https://attack.mitre.org/software/S0055) downloads its backdoor component from a C2 server and loads it directly into memory.(Citation: Aquino RARSTONE)
T1559.002,['Windows'],relationship--4bfaaf99-6884-4df1-af72-0cc61ce50aa0,[Cobalt Group](https://attack.mitre.org/groups/G0080) has sent malicious Word OLE compound documents to victims.(Citation: Talos Cobalt Group July 2018)
T1552.001,"['Windows', 'IaaS', 'Linux', 'macOS', 'Containers']",relationship--4bfd7ff0-f4a9-48f4-b5fb-1483dc74e760,[Pysa](https://attack.mitre.org/software/S0583) has extracted credentials from the password database before encrypting the files.(Citation: CERT-FR PYSA April 2020) 
T1573.001,"['Linux', 'Windows', 'macOS']",relationship--4c06e313-2cde-494c-a8dc-449649a1afa6,Several [Lazarus Group](https://attack.mitre.org/groups/G0032) malware families encrypt C2 traffic using custom code that uses XOR with an ADD operation and XOR with a SUB operation. Another [Lazarus Group](https://attack.mitre.org/groups/G0032) malware sample XORs C2 traffic. Other [Lazarus Group](https://attack.mitre.org/groups/G0032) malware uses Caracachs encryption to encrypt C2 payloads. [Lazarus Group](https://attack.mitre.org/groups/G0032) has also used AES to encrypt C2 traffic.(Citation: Novetta Blockbuster)(Citation: Novetta Blockbuster Destructive Malware)(Citation: McAfee Lazarus Resurfaces Feb 2018)(Citation: McAfee GhostSecret)
T1105,"['Linux', 'macOS', 'Windows']",relationship--4c0f441f-13b1-4b79-b658-e081d5143a94,[Zeus Panda](https://attack.mitre.org/software/S0330) can download additional malware plug-in modules and execute them on the victim’s machine.(Citation: GDATA Zeus Panda June 2017)
T1573.001,"['Linux', 'Windows', 'macOS']",relationship--4c131eaa-c7c1-4c17-bcab-25cdf35e743c,[Mongall](https://attack.mitre.org/software/S1026) has the ability to RC4 encrypt C2 communications.(Citation: SentinelOne Aoqin Dragon June 2022)
T1059.001,['Windows'],relationship--4c13f346-bdd9-4759-b1a8-1f3a38c6055b,[Mafalda](https://attack.mitre.org/software/S1060) can execute PowerShell commands on a compromised machine.(Citation: SentinelLabs Metador Technical Appendix Sept 2022)
T1176,"['Linux', 'macOS', 'Windows']",relationship--4c142924-33e7-4920-b1c7-9259d08fbb6e,[Kimsuky](https://attack.mitre.org/groups/G0094) has used Google Chrome browser extensions to infect victims and to steal passwords and cookies.(Citation: Zdnet Kimsuky Dec 2018)(Citation: Netscout Stolen Pencil Dec 2018)
T1046,"['Windows', 'IaaS', 'Linux', 'macOS', 'Containers', 'Network']",relationship--4c1c2160-0b1d-4bb9-be29-e0c6e0570a2d,[Hildegard](https://attack.mitre.org/software/S0601) has used masscan to look for kubelets in the internal Kubernetes network.(Citation: Unit 42 Hildegard Malware)
T1090,"['Linux', 'macOS', 'Windows', 'Network']",relationship--4c26e6e8-8303-44ad-9e5d-452dff52858f,"[Blue Mockingbird](https://attack.mitre.org/groups/G0108) has used frp, ssf, and Venom to establish SOCKS proxy connections.(Citation: RedCanary Mockingbird May 2020)"
T1119,"['Linux', 'macOS', 'Windows', 'IaaS', 'SaaS']",relationship--4c2924c1-dec5-4390-87d7-c52e24a92512,[APT1](https://attack.mitre.org/groups/G0006) used a batch script to perform a series of discovery techniques and saves it to a text file.(Citation: Mandiant APT1)
T1218.010,['Windows'],relationship--4c29de08-20be-4358-acfd-c4939a83c14b,[Dridex](https://attack.mitre.org/software/S0384) can use `regsvr32.exe` to initiate malicious code.(Citation: Red Canary Dridex Threat Report 2021)
T1547.001,['Windows'],relationship--4c362fcd-939d-48e8-9279-731a663875b0,[AvosLocker](https://attack.mitre.org/software/S1053) has been executed via the `RunOnce` Registry key to run itself on safe mode.(Citation: Trend Micro AvosLocker Apr 2022)
T1124,"['Windows', 'Network']",relationship--4c3890f0-378d-4cef-8db7-0258161ff3f7,[RTM](https://attack.mitre.org/software/S0148) can obtain the victim time zone.(Citation: ESET RTM Feb 2017)
T1543.001,['macOS'],relationship--4c391d8f-4db1-43b3-857e-b8c507f27bdb,[Dacls](https://attack.mitre.org/software/S0497) can establish persistence via a LaunchAgent.(Citation: SentinelOne Lazarus macOS July 2020)(Citation: TrendMicro macOS Dacls May 2020)
T1105,"['Linux', 'macOS', 'Windows']",relationship--4c39d715-d631-41fc-b015-0df20d0507d5,"During [Frankenstein](https://attack.mitre.org/campaigns/C0001), the threat actors downloaded files and tools onto a victim machine.(Citation: Talos Frankenstein June 2019)"
T1027.001,"['Linux', 'macOS', 'Windows']",relationship--4c44fea9-545c-4d2f-a5e9-caee38ee65b4,[SamSam](https://attack.mitre.org/software/S0370) has used garbage code to pad some of its malware components.(Citation: Sophos SamSam Apr 2018)
T1005,"['Linux', 'macOS', 'Windows', 'Network']",relationship--4c530431-2ad0-4ee9-97d1-4e489aa2436f,[Bumblebee](https://attack.mitre.org/software/S1039) can capture and compress stolen credentials from the Registry and volume shadow copies.(Citation: Cybereason Bumblebee August 2022)
T1133,"['Windows', 'Linux', 'Containers', 'macOS']",relationship--4c595f86-f839-44a3-81c8-8a1cab9f4293,[Hildegard](https://attack.mitre.org/software/S0601) was executed through an unsecure kubelet that allowed anonymous access to the victim environment.(Citation: Unit 42 Hildegard Malware)
T1105,"['Linux', 'macOS', 'Windows']",relationship--4c5ae895-9a08-40b6-a548-273a9f96ad5b,[SLOWDRIFT](https://attack.mitre.org/software/S0218) downloads additional payloads.(Citation: FireEye APT37 Feb 2018)
T1041,"['Linux', 'macOS', 'Windows']",relationship--4c5f4c95-2eca-4f8d-8e7e-16f0bb323b07,[APT39](https://attack.mitre.org/groups/G0087) has exfiltrated stolen victim data through C2 communications.(Citation: FBI FLASH APT39 September 2020)
T1055,"['Linux', 'macOS', 'Windows']",relationship--4c654359-aefe-4c86-a092-44e99931d340,[AuditCred](https://attack.mitre.org/software/S0347) can inject code from files to other running processes.(Citation: TrendMicro Lazarus Nov 2018)
T1548.002,['Windows'],relationship--4c6aea43-27ba-4e6a-8907-e5db364a145b,[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) has used a Windows 10 specific tool and xxmm to bypass UAC for privilege escalation.(Citation: Secureworks BRONZE BUTLER Oct 2017)(Citation: Trend Micro Tick November 2019)
T1071.001,"['Linux', 'macOS', 'Windows']",relationship--4c6c38bb-8bb5-48d9-b4f3-54adfca1f902,[Mustang Panda](https://attack.mitre.org/groups/G0129) has communicated with its C2 via HTTP POST requests.(Citation: Anomali MUSTANG PANDA October 2019)(Citation: Secureworks BRONZE PRESIDENT December 2019)(Citation: Recorded Future REDDELTA July 2020)(Citation: McAfee Dianxun March 2021)
T1016.001,"['Windows', 'Linux', 'macOS']",relationship--4c747463-f1e0-40fd-a3ed-dc01bc112651,[APT29](https://attack.mitre.org/groups/G0016) has ensured web servers in a victim environment are Internet accessible before copying tools or malware to it.(Citation: Mandiant APT29 Eye Spy Email Nov 22)
T1070.004,"['Linux', 'macOS', 'Windows']",relationship--4c7803e9-e099-4905-b32e-d46a09247e94,[njRAT](https://attack.mitre.org/software/S0385) is capable of deleting files.(Citation: Fidelis njRAT June 2013)(Citation: Trend Micro njRAT 2018)
T1185,['Windows'],relationship--4c7a0e49-6b38-417a-881b-6f9474ea4ec2,[Carberp](https://attack.mitre.org/software/S0484) has captured credentials when a user performs login through a SSL session.(Citation: Prevx Carberp March 2011)(Citation: Trusteer Carberp October 2010)
T1486,"['Linux', 'macOS', 'Windows', 'IaaS']",relationship--4c8da471-3483-4f75-8e1a-952d2d05454d,"[BitPaymer](https://attack.mitre.org/software/S0570) can import a hard-coded RSA 1024-bit public key, generate a 128-bit RC4 key for each file, and encrypt the file in place, appending <code>.locked</code> to the filename.(Citation: Crowdstrike Indrik November 2018)"
T1049,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--4c94f67d-6662-44ea-be75-ded8b2dbfa00,Commands such as <code>net use</code> and <code>net session</code> can be used in [Net](https://attack.mitre.org/software/S0039) to gather information about network connections from a particular host.(Citation: Savill 1999)
